token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
魅力,0,164,0.33245281890765455,1,0.051931073252129756,0.0721787947565486,0.9998478159565728,26,0.00010912035595891432,0.9997386956006139,0.0004104611505282552,7-9,mèilì,charm; fascination; glamor; charisma,Translation,真挚 | 祝福 | 感激 | 真诚 | 感恩 | 牵挂 | 深情 | 快乐 | 幸福 | 思念 | 情谊 | 亲爱,0.75
风采,0,164,0.3130864174243337,16,0.07258960409089107,0.09557511458179033,0.9998794200103376,30,0.000044905805305563687,0.999834514205032,0.00035332983732900804,7-9,fēngcǎi,svelte; elegant manner; graceful bearing,Translation,独特 | 有名 | 出名 | 驰名 | 出众 | 独一无二 | 昂贵 | 出色 | 顶级 | 耀眼 | 名贵 | 一流,0.75
气质,0,164,0.3129084275567336,37,-0.019022265276970984,-0.027685196616993462,0.9996695841505708,28,0.00030418190144229705,0.9993654022491285,0.0007886795354514397,7-9,qìzhì,temperament; personality traits; manners,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.25
特质,0,164,0.3092877614397072,28,0.030342142037393216,0.04208024089978122,0.9998309426833486,28,0.00007380620247789229,0.9997571364808707,0.0004665585141214997,7-9,tèzhì,characteristic; special quality,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.25
底蕴,0,164,0.30630206272510674,1,0.031719270762210316,0.04372555601215885,0.9994424653422096,16,0.0005318253208293062,0.9989106400213803,0.0012460953473248115,7-9,dǐyùn,inside information; concrete details,Translation,比赛 | 决赛 | 选手 | 夺冠 | 冠军 | 单打 | 半决赛 | 亚军 | 预赛 | 银牌 | 教练 | 双打,0.5
气魄,0,164,0.30515160249596057,37,0.020369833578108842,0.028480584935997266,0.9998870184754328,28,0.00009002519379660441,0.9997969932816362,0.0003113583139193744,7-9,qìpò,spirit; boldness; positive outlook; imposing attitude,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.5
气息,0,164,0.3043638396684302,1,0.005979188711791761,0.008522032364235361,0.9998581876560976,14,0.00010862711899441045,0.9997495605371032,0.00038900053426400686,7-9,qìxī,breath; smell; odor; flavor,Translation,小声 | 大声 | 招呼 | 嬉笑 | 点头 | 插嘴 | 扭头 | 交头接耳 | 自言自语 | 神情 | 听见 | 坐下,0.75
光芒,0,164,0.3029657114169451,1,0.036783199174199255,0.0501258143719341,0.9996958749048124,14,0.00011105913675498923,0.9995848157680574,0.0008297967564973619,7-9,guāngmáng,rays of light; brilliant rays; radiance,Translation,小声 | 大声 | 招呼 | 嬉笑 | 点头 | 插嘴 | 扭头 | 交头接耳 | 自言自语 | 神情 | 听见 | 坐下,0.75
风范,0,164,0.3028093680276412,37,0.026900465615617652,0.03715066475092129,0.9999245768508757,28,0.000044442466036907896,0.9998801343848388,0.00021775039754378636,7-9,fēngfàn,air; manner; model; paragon; demeanor,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.5
韵味,0,164,0.3026706629947595,1,-0.0353924492289745,-0.0507542811564064,0.9999192520086323,1,0.00005819389961872523,0.9998610581090136,0.00023170180583598898,7-9,yùnwèi,implicit charm in rhyme or sound; hinted appeal; interest,Translation,迷人 | 优美 | 古朴 | 明媚 | 美妙 | 艳丽 | 别致 | 翠绿 | 明亮 | 质朴 | 浓郁 | 纯朴,0.75
风貌,0,164,0.2992146698410245,1,0.03227004482581952,0.044021292152027214,0.9980900522052384,9,0.0013302269734633105,0.9967598252317751,0.004100001103983058,7-9,fēngmào,style; manner; ethos,Translation,山岭 | 树林 | 峡谷 | 丘陵 | 山坡 | 山谷 | 山顶 | 海岸 | 山峰 | 沿岸 | 河流 | 湖泊,0.5
