token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
揣摩,0,51,0.3920539425207149,142,0.08914870443864359,0.12788606271171396,1.0,66,4.1684302392892646e-29,1.0,5.141183107836857e-28,7-9,chuǎimó,to analyze; to try to figure out; to try to fathom,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,1.0
思索,0,51,0.39170768125134225,68,0.019053543210463098,0.030371672734018307,1.0,68,5.300914796937641e-20,1.0,4.440558103610898e-19,7-9,sīsuǒ,to think deeply; to ponder,Translation,茫然 | 焦躁 | 慌张 | 慌乱 | 胆怯 | 惊慌 | 恐惧 | 不安 | 消沉 | 畏缩 | 惊慌失措 | 畏惧,0.5
思考,0,51,0.38905475504869536,20,0.022751092869186862,0.035902200330581065,1.0,66,1.9705626356638963e-26,1.0,2.201371902170047e-25,4,sīkǎo,to reflect on; to ponder over,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,0.5
探求,0,51,0.37450877994662707,20,0.04657733922405233,0.06930444607337387,1.0,20,4.460859388290043e-29,1.0,5.4961455406729785e-28,7-9,tànqiú,to seek; to pursue; to investigate,Translation,商讨 | 讨论 | 探讨 | 谈论 | 磋商 | 研讨 | 谈 | 协商 | 商量 | 争论 | 洽谈 | 辩论,0.5
领悟,0,51,0.3704892084346183,142,0.038064080936281386,0.05701844467818328,1.0,68,1.798311933106257e-33,1.0,2.6315844376015665e-32,7-9,lǐngwù,to understand; to comprehend,Translation,茫然 | 焦躁 | 慌张 | 慌乱 | 胆怯 | 惊慌 | 恐惧 | 不安 | 消沉 | 畏缩 | 惊慌失措 | 畏惧,0.0
琢磨,0,51,0.3669446223625409,20,0.022410672099351825,0.03419043916668213,1.0,20,1.6712378109424153e-35,1.0,2.746707656963143e-34,7-9,zuómo,to carve and polish (jade); to polish and refine a literary work; to ponder; to mull over; to think through; Taiwan pr. [zhuó mó],Translation,商讨 | 讨论 | 探讨 | 谈论 | 磋商 | 研讨 | 谈 | 协商 | 商量 | 争论 | 洽谈 | 辩论,0.75
审视,0,51,0.3616221806534829,20,0.041970482954445054,0.06168970042623682,1.0,66,1.0773259831446087e-26,1.0,1.2157871621539533e-25,7-9,shěnshì,to look closely at; to examine,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,0.75
反思,0,51,0.3540475473691217,184,0.03600367290638856,0.05279470563890553,1.0,66,1.7134078769037667e-37,1.0,2.7378005211573907e-36,7-9,fǎnsī,to think back over sth; to review; to revisit; to rethink; reflection; reassessment,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,0.25
体会,0,51,0.35005658104384624,34,0.04708153821727784,0.06754641671397602,1.0,66,6.016987899662259e-30,1.0,7.663206345630143e-29,3,tǐhuì,to know from experience; to learn through experience; to realize; understanding; experience,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,0.0
挖掘,0,51,0.34803945563969896,101,0.07214354051929928,0.09963145081731568,1.0,192,5.173100453531087e-38,1.0,1.0557609460153542e-36,7-9,wājué,to excavate; to dig; to unearth,Translation,下载 | 查询 | 扫描 | 数据库 | 浏览器 | 登录 | 搜索 | 查找 | 浏览 | 输入 | 监控 | 网页,0.75
寻找,0,51,0.34426059824061533,20,0.06219300560062524,0.08662794012784872,1.0,20,9.667255302440182e-32,1.0,1.3030121014648318e-30,4,xúnzhǎo,to seek; to look for,Translation,商讨 | 讨论 | 探讨 | 谈论 | 磋商 | 研讨 | 谈 | 协商 | 商量 | 争论 | 洽谈 | 辩论,0.5
