token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
扭头,1,52,0.48676143139752326,86,0.06448858148295517,0.11162463365867245,0.8983725454328153,86,0.05374650837933254,0.8446260370534827,0.08882866986381745,7-9,niǔtóu,to turn one's head; to turn around,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
小声,1,52,0.4848096571551554,86,0.03639564828515568,0.06598363423007574,0.7743520651923858,86,0.1772064527087364,0.5971456124836494,0.13972845869869904,2,xiǎo shēng,in a low voice; (speak) in whispers,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
摇头,1,52,0.4644732756014271,86,0.013843307616294043,0.025198512495343793,0.48334046683843657,86,0.44826551546566556,0.035074951372771,0.19069395114749602,5,yáotóu,to shake one's head,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.25
大声,1,52,0.46284414776963845,86,0.04181594440425562,0.07222449288085998,0.928128244091898,86,0.05303988098567744,0.8750883631062205,0.06427046096670752,2,dà shēng,loud voice; in a loud voice; loudly,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
插嘴,1,52,0.45460625255327314,86,0.07363858642713311,0.11895757684628211,0.8295089738039427,100,0.05097383975664089,0.7785351340473018,0.15006152118682967,7-9,chāzuǐ,to interrupt (sb talking); to butt in; to cut into a conversation,Translation,撒谎 | 胡闹 | 吹牛 | 逞能 | 闹着玩儿 | 说闲话 | 骗人 | 出洋相 | 说谎 | 耍赖 | 谎话 | 出丑,0.5
招呼,1,52,0.44901077054443095,86,0.09931931475763245,0.15272644907010624,0.9698113778269917,129,0.006475272409833293,0.9633361054171584,0.041653337634176876,4,zhāohu,to call out to; to greet; to say hello to; to inform; to take care of; to take care that one does not,Translation,劝告 | 劝说 | 劝阻 | 催促 | 劝 | 吩咐 | 嘱咐 | 答应 | 告诫 | 叮嘱 | 听从 | 请求,0.75
走开,1,52,0.44201128819354557,86,0.03706493685809381,0.06228839524180217,0.8822902583785955,86,0.06721221426479557,0.8150780441137999,0.10767494612541241,2,zǒukāi,to leave; to walk away; to beat it; to move aside,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
嚷,1,52,0.44083347120994515,86,0.06288150074689663,0.10108785457242772,0.8989774317394288,86,0.0527074263661435,0.8462700053732853,0.09775927833555094,7-9,rǎng,to shout; to bellow; to make a big deal of sth; to make a fuss about sth,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.75
点头,1,52,0.44066755284587833,86,0.03683844319340002,0.061791750972487174,0.8472975639618676,86,0.09975460449699114,0.7475429594648765,0.11693287832129691,2,diǎntóu,to nod,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
打岔,1,52,0.4387612727229722,100,0.04155269679236073,0.06893378892460407,0.64853691392418,164,0.1345024937832475,0.5140344201409325,0.24686804401446913,7-9,dǎchà,interruption; to interrupt (esp. talk); to change the subject,Translation,嘲笑 | 讥笑 | 瞧不起 | 责怪 | 取笑 | 责备 | 嫉妒 | 耻笑 | 嫌弃 | 鄙视 | 妒忌 | 埋怨,0.25
坐下,1,52,0.433488247602015,86,0.030637943166480275,0.051306972764206586,0.875902205109202,86,0.0588630671332165,0.8170391379759855,0.11589590963019283,1,zuò xia,to sit down,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.75
