token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
会见,0,230,0.3151544039711648,43,0.09987814977219289,0.127278103035151,0.9997442855421539,43,0.0001292402756627549,0.9996150452664911,0.0007248570722244641,6,huìjiàn,to meet with (sb who is paying a visit),Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.5
拜会,0,230,0.311564714396407,43,0.06508440125168252,0.0863738564327424,0.9978053760335657,43,0.0018317342468238966,0.9959736417867417,0.0043547212779134845,7-9,bàihuì,(often used in the context of diplomacy) to meet with; to pay a visit to; to call on,Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.5
出席,0,230,0.31143298494925853,43,0.12266959343059464,0.15121308894113697,0.9994795317466083,3,0.00014873594669220186,0.9993307957999161,0.0014217378602223059,4,chūxí,to attend; to participate; present,Translation,比赛 | 决赛 | 冠军 | 预赛 | 选手 | 单打 | 田径 | 半决赛 | 夺冠 | 亚军 | 乒乓球 | 参赛,0.5
接见,0,230,0.30728789993467515,43,0.03677478932556605,0.050411857787152715,0.993198372281007,43,0.006443298108510411,0.9867550741724966,0.010986671575757735,7-9,jiējiàn,to receive sb; to grant an interview,Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.5
应邀,0,230,0.30675883021668754,35,0.0724074794554897,0.09457011323336913,0.9993003563460162,4,0.000290371846608764,0.9990099844994075,0.0018317534892803061,7-9,yìngyāo,at sb's invitation; on invitation,Translation,旁边 | 看见 | 前边 | 后边 | 老远 | 那儿 | 外边 | 回来 | 远处 | 路过 | 门口 | 走开,0.5
会晤,0,230,0.30651296566851044,8,0.08846582241236356,0.11313447051110728,0.9998245108188916,25,0.00008988225617242436,0.9997346285627191,0.0004969053244699986,7-9,huìwù,to meet; meeting; conference,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.5
座谈,0,230,0.30629203538999855,48,0.08692709437036789,0.1113543305163723,0.9993249941936719,48,0.0004909141821359313,0.998834080011536,0.0016405642250852874,7-9,zuòtán,to have an informal discussion,Translation,解释 | 阐述 | 反驳 | 表述 | 猜测 | 推断 | 分析 | 揣测 | 判断 | 推测 | 断定 | 叙述,0.5
担任,0,230,0.30613770750964053,38,0.08355250508207357,0.1074748066836081,0.9999412826363983,38,0.00002462088160701325,0.9999166617547912,0.00018216476398295178,4,dānrèn,to hold a governmental office or post; to assume office of; to take charge of; to serve as,Translation,构建 | 建立 | 遵循 | 着眼于 | 打造 | 确立 | 秉承 | 开辟 | 依托 | 着力 | 制定 | 搭建,0.75
出任,0,230,0.30608413424394926,26,0.10367409322619958,0.1299842006016363,0.9999564076146422,26,0.000018021233259076628,0.9999383863813831,0.00014253568019038015,7-9,chūrèn,to take up a post; to start in a new job,Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.75
邀请,0,230,0.3029884634517913,43,0.0660966948288666,0.08661509876468124,0.9989627007683776,43,0.00044662811590117095,0.9985160726524764,0.0025960164181427063,5,yāoqǐng,to invite; invitation,Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.75
致辞,0,230,0.3022303471096151,43,0.06508009879342869,0.0853118174971931,0.9989684683686442,43,0.0005765490956124101,0.9983919192730317,0.0024060027639644563,7-9,zhìcí,"to express in words or writing; to make a speech (esp. short introduction, vote of thanks, afterword, funeral homily etc); to address (an audience); same as 致词",Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.5
