run,community,size,anchor,theme_hypotheses,evidence,interpretation,representatives,deterministic_sample,boundary_words,review_scope
pca20-plain-k10-reg1e-05-seed42,1,955,猫,Food; household objects; living things; bodily/health contexts,"Central words include 面条儿, 杯子, 罐头, 肉, 袜子, 牛奶. The fixed sample spans scissors, sleep, clothes, a clinic and birds.",Several identifiable subthemes within one component; no assumption that these must be separate components.,面条儿 | 杯子 | 罐头 | 肉 | 袜子 | 米饭 | 饼干 | 牛奶 | 肥皂 | 钳子 | 梳子 | 脸盆,剪刀 | 物体 | 秘方 | 艘 | 睡眠 | 背包 | 分量 | 桑拿 | 裤子 | 奶 | 诊所 | 鸟,青 | 球场 | 坡 | 嗜好 | 轮廓 | 看台 | 兵 | 厨师,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca20-plain-k50-reg0.001-seed42,20,382,猫,Food and drink; animals; household and natural objects,"米饭, 豆腐, 牛奶, 蜂蜜 are central; 鸟 and 鹰 appear in the sample; organs, 冰山 and 月球 occur among boundary words.",Readable food core with additional groups and some distant boundary members. Review subthemes rather than judging by component size.,米饭 | 豆腐 | 牛奶 | 肉 | 果酱 | 罐头 | 红薯 | 面条儿 | 蜂蜜 | 果汁 | 水果 | 南瓜,桑拿 | 奶 | 鸟 | 瓶 | 口 | 罐 | 皮 | 酱 | 馒头 | 葡萄酒 | 鹰 | 野生,脾 | 肝 | 肾 | 海底 | 冰山 | 娃娃 | 月球 | 细菌,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca20-plain-k50-reg0.001-seed42,10,88,,"Kinship, ageing, marriage, biography and narrative relationships","娶, 去世, 后代, 年迈, 后裔, 子孙 and 嫁 form the centre; sampled members include 分手, 相依为命 and 诀别.",Broad related contexts span more than one semantic group; this is informative structure rather than automatic impurity.,娶 | 去世 | 后代 | 年迈 | 辈 | 后裔 | 子孙 | 嫁 | 恩情 | 年纪 | 岁数 | 遗愿,分手 | 恩情 | 相依为命 | 早年 | 遇见 | 岁数 | 终生 | 报仇 | 主人公 | 辈 | 朝夕相处 | 诀别,人品 | 不辞而别 | 得了 | 见识 | 年轻 | 心意 | 天生 | 遇见,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca20-white-k50-reg0.1-seed42,20,178,猫,Animals and imaginary creatures; threatening actors; conflict contexts,"妖怪, 鬼, 蛇, 野兽 and 猫 coexist with 小偷儿; the fixed sample also contains 军舰, 导弹, 核武器 and 黑客.",Possible narrative/threat association is a hypothesis. These samples need linguistic review; whitening does not automatically improve relevance.,妖怪 | 鬼 | 蛇 | 小偷儿 | 怪物 | 野兽 | 虫子 | 狼 | 猫 | 狗 | 狮子 | 猩猩,军舰 | 导弹 | 鸟 | 核武器 | 野生 | 黑客 | 心 | 家伙 | 颗 | 神 | 鼓 | 同伙,团伙 | 武力 | 娘 | 罪 | 尾巴 | 漫 | 束 | 间谍,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca50-plain-k200-reg0.001-seed42,0,65,软件,"Electronic devices, computing, audiovisual equipment and appliances","电脑, 显示器, 硬盘, 打印机, 录音机 and 相机 are central; boundary members include 洗衣机, 灯泡 and 闹钟.",Several related device subgroups are apparent; a component need not be a pure software category.,电脑 | 显示器 | 硬盘 | 打印机 | 屏幕 | 录音机 | 摄像机 | 音响 | 鼠标 | 相机 | 手机 | 磁盘,物体 | 屏幕 | 磁带 | 光盘 | 笔记本 | 显示器 | 耳机 | 硬盘 | 摄像 | 电视 | 服务器 | 音响,洗衣机 | 灯泡 | 物体 | 闹钟 | 电视 | 图形 | 开机 | 防盗,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca50-plain-k200-reg0.001-seed42,188,43,快乐,Pleasant emotional states; calm; comfort,"安逸, 悠闲, 快乐, 宁静, 愉快 and 舒畅 are central. 暖和, 凉快, 滋润 and 丰盛 appear at the boundary.",Emotion and physical comfort provide multiple related readings; inspection should decide whether that relationship is useful.,安逸 | 悠闲 | 快乐 | 宁静 | 愉快 | 舒畅 | 安静 | 舒服 | 快活 | 安稳 | 清静 | 幸福,安静 | 滋润 | 美好 | 和谐 | 无忧无虑 | 痛快 | 明媚 | 舒服 | 快活 | 悠闲 | 安稳 | 幸福,丰盛 | 暖和 | 滋润 | 明媚 | 暖烘烘 | 凉快 | 浪漫 | 美滋滋,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca100-plain-k200-reg0.001-seed42,135,48,猫,Animals across several zoological groups,"狗, 猫, 蛇, 鹅, 青蛙, 鸽子, 鸭子 and 狮子 form the centre; the fixed sample includes 鹰, 鳄鱼, 仙鹤, 鹿 and 蜜蜂.",Strong recognizable animal content in this inspected component; not a claim about all components or all initializations.,狗 | 猫 | 蛇 | 鹅 | 青蛙 | 鸽子 | 鸭子 | 狮子 | 鸟 | 公鸡 | 猴 | 兔,鸟 | 鹰 | 母鸡 | 猴 | 动物园 | 鼠 | 鳄鱼 | 青蛙 | 虫子 | 仙鹤 | 鹿 | 蜜蜂,卵 | 驯 | 仙鹤 | 蜜蜂 | 牛 | 昆虫 | 鱼 | 鸡,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca100-plain-k200-reg0.001-seed42,162,80,合同,"Corporate/legal agreements, ownership and administration","担保, 履行, 股东, 委托, 合同, 转让 and 授权 are central; sample and boundary also include 独立, 临时, 政府 and 联邦.",A related business/legal context with broad administrative boundaries; semantic relevance is not synonymy.,担保 | 履行 | 股东 | 委托 | 合同 | 转让 | 授权 | 约定 | 披露 | 出资 | 董事会 | 资产,独立 | 合同 | 发起人 | 全体 | 拟 | 临时 | 原 | 对外 | 归属 | 到期 | 事务所 | 授予,现行 | 政府 | 搬迁 | 联邦 | 违约 | 履行 | 有关 | 税务,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca100-plain-k200-reg0.001-seed42,192,69,软件,Computing and online operations,"下载, 查询, 扫描, 数据库, 浏览器, 登录 and 搜索 form the centre; sampled members include 网页, 联网, 服务器 and 删除.","Recognizable operational computing theme, with related terms such as 窗口 and 菜单 that also have non-computing senses.",下载 | 查询 | 扫描 | 数据库 | 浏览器 | 登录 | 搜索 | 查找 | 浏览 | 输入 | 监控 | 网页,网页 | 格式 | 联网 | 生成 | 登录 | 输入 | 服务器 | 网上 | 数据库 | 收集 | 删除 | 查找,口令 | 内存 | 登陆 | 密码 | 格式 | 收集 | 窗口 | 菜单,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca50-plain-k400-reg0.001-seed42,137,30,猫,"Domestic and wild animals, birds, reptiles and insects","狗, 猫, 蛇, 鹅, 鸭子, 公鸡 and 青蛙 are central; sampled members include 母鸡, 鳄鱼, 鹿, 蜜蜂 and 猩猩.",Recognizable animal content; no inference that this component count or group size is intrinsically preferable.,狗 | 猫 | 蛇 | 鹅 | 鸭子 | 公鸡 | 青蛙 | 鸡 | 鸽子 | 母鸡 | 兔 | 猴,鸟 | 母鸡 | 猴 | 鼠 | 鳄鱼 | 青蛙 | 虫子 | 鹿 | 蜜蜂 | 猩猩 | 鹅 | 鸽子,猩猩 | 鲨鱼 | 鳄鱼 | 大象 | 鸡 | 鱼 | 蜜蜂 | 猪,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca50-plain-k400-reg0.001-seed42,182,2,,Transmission and loss of a tradition,The complete two-word component is 传人 | 失传.,Tiny size alone does not imply incoherence: the words share a plausible semantic relationship.,传人 | 失传,传人 | 失传,失传 | 传人,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca50-plain-k400-reg0.001-seed42,40,78,,Single-character items with several possible lexical or naming contexts,"利, 德, 融, 信, 保, 盛, 福, 富, 合, 金, 安 and 通 are central; the fixed sample also includes 产, 限, 格, 销, 代 and 电.",A narrow theme is not evident from the sample. Possible morphological/naming-context effects require investigation; no semantic label is assigned.,利 | 德 | 融 | 信 | 保 | 盛 | 福 | 富 | 合 | 金 | 安 | 通,产 | 限 | 格 | 销 | 融 | 代 | 管 | 电 | 创 | 增 | 盛 | 聚,权 | 平安 | 尚 | 省 | 合伙 | 致 | 家 | 太平,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca100-plain-k200-reg0.001-seed42,183,125,,Single-character and numeric items,"福, 德, 利, 海, 宝 and 富 are central; the sample spans 〇, 二, 百, 管, 族, 港 and 电.",This diagnostic sample illustrates that attractive animal/computing components do not establish general semantic quality.,福 | 德 | 利 | 海 | 宝 | 富 | 腾 | 安 | 俊 | 盛 | 信 | 金,〇 | 产 | 格 | 二 | 百 | 海 | 融 | 代 | 管 | 族 | 港 | 电,许 | 兵 | 服 | 凤凰 | 马 | 电 | 子 | 平安,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
pca20-plain-k200-reg0.01-seed42,93,4603,,"Very broad conversational, descriptive and event contexts","The component contains 4603 words. Its fixed sample includes 当然, 苦力, 缓慢, 高额, 供求, 淘汰, 展开 and 无关.",Concentration warning: together with the second-largest component it absorbs about 76% of words; 189 components have no hard assignments. Preserve as a strong-ridge diagnostic.,贪玩儿 | 闹着玩儿 | 小偷儿 | 人缘儿 | 他 | 她 | 怕 | 离谱儿 | 当真 | 你 | 晓得 | 知道,当然 | 苦力 | 缓慢 | 大伙儿 | 高额 | 骤然 | 愈来愈 | 干活儿 | 供求 | 淘汰 | 展开 | 无关,急忙 | 连忙 | 慌忙 | 赶紧 | 赶快 | 立即 | 立刻 | 当即,Assistant qualitative spot-check; no semantic accuracy score or exhaustive linguistic validation.
