partition,anchor,community,size,duplicate_of_anchor,centers,fixed_sample,boundary,members
archived recommendation,苹果,1321,1,,苹果,苹果,苹果,苹果
archived recommendation,牛奶,69,165,,米饭 豆腐 香肠 豆浆 卤味 饺子 薯条 酸奶,蘸 茶叶 饮料 豆浆 橙汁 炖 咖啡 馒头,啤酒 味道 电饭锅 晚餐 桂花 碗,三明治 中餐 主食 佐料 冰棍儿 勺 包子 午餐 南瓜 卤味 口味 口感 可乐 可口 吃 味精 味道 咖啡 咸 品尝 啤酒 喝 嚼 土豆 大米 奶 奶茶 好吃 嫩 寿司 小吃 巧克力 年夜饭 开水 快餐 拌 料理 方便面 早餐 早饭 晚餐 月饼 果汁 果酱 枣 柿子 核桃 桂花 梨 椰子 橙汁 水果 汁 汤 汤圆 汽水 海鲜 涮 淀粉 火腿 火锅 炖 点心 烤 烤肉 烤鸭 烧烤 热腾腾 烹调 煎 煮 煲 熟 牛奶 瓜 甜 电饭锅 番茄 白菜 盒饭 砂糖 碗 米饭 粥 粽子 糊 糖 糖果 素食 红茶 红薯 红酒 绿茶 罐头 美味 美食 肉 脆 腥 芝士 芝麻 花生 茄子 茶 茶叶 莲子 菜 萝卜 葡萄 葱 蒜 蒸 蔬菜 薯条 薯片 蘑菇 蘸 虾 蛋 蛋糕 蜂蜜 西瓜 西红柿 西餐 调料 豆制品 豆子 豆浆 豆腐 辣 辣椒 酥 酱 酱油 酸奶 醋 锅 零食 面包 面条儿 面粉 风味 食品 食物 食用 餐 饭 饮料 饺子 饼 饼干 馅儿 馋 馒头 香 香味 香料 香油 香肠 香蕉 鲜美 鸡 鸡蛋 麻辣 黄瓜
archived recommendation,咖啡,69,165,牛奶,米饭 豆腐 香肠 豆浆 卤味 饺子 薯条 酸奶,饭 调料 味精 桂花 热腾腾 火锅 茄子 绿茶,啤酒 味道 电饭锅 晚餐 桂花 碗,三明治 中餐 主食 佐料 冰棍儿 勺 包子 午餐 南瓜 卤味 口味 口感 可乐 可口 吃 味精 味道 咖啡 咸 品尝 啤酒 喝 嚼 土豆 大米 奶 奶茶 好吃 嫩 寿司 小吃 巧克力 年夜饭 开水 快餐 拌 料理 方便面 早餐 早饭 晚餐 月饼 果汁 果酱 枣 柿子 核桃 桂花 梨 椰子 橙汁 水果 汁 汤 汤圆 汽水 海鲜 涮 淀粉 火腿 火锅 炖 点心 烤 烤肉 烤鸭 烧烤 热腾腾 烹调 煎 煮 煲 熟 牛奶 瓜 甜 电饭锅 番茄 白菜 盒饭 砂糖 碗 米饭 粥 粽子 糊 糖 糖果 素食 红茶 红薯 红酒 绿茶 罐头 美味 美食 肉 脆 腥 芝士 芝麻 花生 茄子 茶 茶叶 莲子 菜 萝卜 葡萄 葱 蒜 蒸 蔬菜 薯条 薯片 蘑菇 蘸 虾 蛋 蛋糕 蜂蜜 西瓜 西红柿 西餐 调料 豆制品 豆子 豆浆 豆腐 辣 辣椒 酥 酱 酱油 酸奶 醋 锅 零食 面包 面条儿 面粉 风味 食品 食物 食用 餐 饭 饮料 饺子 饼 饼干 馅儿 馋 馒头 香 香味 香料 香油 香肠 香蕉 鲜美 鸡 鸡蛋 麻辣 黄瓜
archived recommendation,衬衫,100,81,,衬衣 毛衣 大衣 衬衫 衣服 袜子 裙子 裤子,地毯 上衣 窗帘 雨衣 毛巾 书包 打扮 穿,穿 帽子 口罩 绳子 手套 铅笔,上衣 书包 保暖 兜儿 内衣 凉鞋 制服 刷子 发型 口罩 围巾 地毯 外套 外衣 大衣 婚纱 尼龙 帽子 戒指 扇子 手套 手帕 手表 打扮 拉锁 拖鞋 旗袍 时装 服装 服饰 枕头 梳子 款式 毛巾 毛衣 毯子 水壶 沐浴露 洗衣粉 牙刷 牛仔裤 球鞋 皮包 皮带 皮鞋 眼镜 睡袋 短裤 礼服 穿 穿着 窗帘 纽扣 绳子 绷带 羽绒服 肥皂 背包 背心 蚊帐 衣服 衣架 衬衣 衬衫 袜子 被子 装扮 裙子 裤子 西装 辫子 透气 铅笔 雨衣 靴子 鞋 项链 领带 首饰 香水 高跟鞋
archived recommendation,足球,281,40,,体操 乒乓球 田径 篮球 网球 羽毛球 排球 举重,跳远 太极拳 武术 帆船 球拍 健身 棒球 跳伞,太极拳 帆船 教练 体育 跳伞 武术,举重 乒乓球 体操 体育 健美 健身 冲浪 划船 台球 太极拳 射击 帆船 打球 排球 摔跤 教练 棒球 武术 游泳 滑冰 滑雪 球拍 田径 登山 竞技 篮球 网球 羽毛球 赛车 足球 跳伞 跳水 跳远 跳高 运动 运动会 运动员 长跑 高尔夫球 龙舟
archived recommendation,老师,26,140,,姑姑 舅舅 姐姐 妹妹 爸爸 嫂子 哥哥 奶奶,胖子 宝宝 女儿 太太 班长 家里 全家 岳母,亲属 老王 她们 战友 宝宝 朋友,一家人 丈夫 两口子 丫头 主人 乖 乡下 乡亲 亲人 亲友 亲属 亲戚 亲朋好友 亲生 人家 仇人 他 伯伯 伯母 伯父 你 保姆 俩 儿女 儿子 全家 别人 叔叔 同事 同伴 同学 哥 哥哥 外公 外婆 大人 大哥 大妈 大姐 大爷 太太 夫人 女人 女儿 女婿 女孩儿 女朋友 女生 奶奶 她 她们 妈 妈妈 妹 妹妹 妻子 姐 姐妹 姐姐 姑姑 姑娘 姥姥 姥爷 姨 娘 娶 媳妇 嫂子 子女 孙女 孙子 孩子 宝宝 家人 家伙 家里 家长 寡妇 小伙子 小偷儿 小姐 小孩儿 小时候 小朋友 岳母 岳父 帅哥 师傅 师父 弟 弟弟 徒弟 恩人 情人 我 战友 新娘 朋友 母亲 母女 母子 爱人 父亲 父女 父子 父母 爷爷 爸 爸爸 爹 班长 男人 男孩儿 男朋友 男生 祖母 祖父 继母 继父 老乡 老人 老人家 老伴儿 老公 老大 老太太 老头儿 老婆 老家 老师 老板 老汉 老王 胖子 舅舅 贪玩儿 邻居 长辈 闺女 阿姨
archived recommendation,焦虑,128,175,,沮丧 羞愧 气愤 诧异 惊讶 惋惜 难过 心疼,凄凉 心疼 失望 钦佩 害臊 惭愧 妒忌 发怒,心里 反感 过意不去 自卑 惊叹 发脾气,不以为然 不安 不屑 不已 不服气 不满 不耐烦 不解 丢脸 为难 介意 伤心 伤感 佩服 依依不舍 兴奋 冤枉 冷笑 凄凉 别扭 半信半疑 压抑 厌烦 反感 发怒 发愣 发抖 发脾气 叹气 吃惊 同情 后悔 呜咽 哭 哭泣 哭笑不得 喜悦 嘲笑 困惑 垂头丧气 埋怨 大吃一惊 大惊小怪 失望 失落 头疼 奇怪 好奇 好笑 妒忌 委屈 嫉妒 嫌弃 孤单 孤独 安慰 害怕 害羞 害臊 寂寞 尴尬 庆幸 得意 得意扬扬 心慌 心疼 心酸 心里 忧愁 忧虑 忧郁 怀疑 怜惜 怨恨 怨气 恋恋不舍 恍然大悟 恐惧 恐慌 恨 恼羞成怒 悔恨 悲伤 悲哀 悲痛 惊叹 惊奇 惊慌 惊慌失措 惊讶 惊诧 惋惜 惭愧 愁眉苦脸 感到 感动 感叹 感慨 感激 愤怒 慌 慌乱 慌张 扫兴 抱怨 抱歉 担心 担忧 挂念 敬佩 无可奈何 无奈 欣喜 欣慰 歉意 气愤 气馁 沮丧 泄气 流泪 消沉 漠然 激动 灰心 烦躁 烦闷 焦急 焦虑 焦躁 犹豫 狼狈 生气 畏惧 畏缩 留恋 疑惑 疲倦 疲惫 痛心 痛苦 目瞪口呆 着急 窘迫 纳闷儿 绝望 羞愧 羡慕 耻笑 耻辱 胆怯 自卑 自豪 自责 苦恼 苦笑 茫然 讥笑 讨厌 诧异 责备 责怪 轻蔑 过意不去 迟疑 迷惑不解 遗憾 钦佩 难为情 难受 难堪 难过 震惊 面红耳赤 骄傲 高兴
archived recommendation,政策,279,11,,思路 理念 方针 构想 举措 策略 战略 方案,策略 战略 方针 方案 思路 理念 决策 政策,方针 方案 理念 决策 政策 战略,举措 决策 思路 战略 政策 方案 方针 构想 理念 策略 蓝图
archived recommendation,合同,762,16,,协议 签订 签署 协议书 订立 协定 合同 达成,达成 协议 约定 谅解 生效 契约 签署 签,签字 生效 条约 谅解 约定 契约,协定 协议 协议书 合同 契约 条约 生效 签 签字 签约 签署 签订 约定 订立 谅解 达成
archived recommendation,银行,16,30,,存折 银行卡 支票 挂失 汇款 信用卡 身份证 取款,印章 支票 磁卡 汇款 存折 收据 卡 活期,活期 存款 外币 证件 银行 储蓄,一卡通 信用卡 借条 储蓄 凭证 卡 卡片 印章 发票 取款 取款机 外币 存折 存款 护照 挂失 支票 收据 欠条 汇款 活期 磁卡 证件 账单 账户 身份证 钞票 钱包 银行 银行卡
archived recommendation,软件,338,7,,人工智能 硬件 软件 计算机 智能 芯片 互联网,计算机 互联网 芯片 智能 软件 人工智能 硬件,软件 智能 互联网 芯片 人工智能 计算机,互联网 人工智能 智能 硬件 芯片 计算机 软件
archived recommendation,感冒,95,46,,咳嗽 头晕 呕吐 疼痛 痒 腹泻 疼 肿,胀 疼痛 咳嗽 喘 灼热 瘫 发作 上火,灼热 紊乱 喘 咽 渴 晕,上火 不适 休克 僵 出汗 劳累 发作 发炎 发烧 发热 呕吐 咳 咳嗽 咽 哑 喘 失眠 头晕 恶心 感冒 抑郁 昏迷 晕 晕车 渴 灼热 烦 疲劳 疼 疼痛 症状 痒 痛 痰 痴呆 瘫 紊乱 聋 肿 胀 腹泻 虚弱 过敏 闷 麻木 麻痹
archived recommendation,火车,102,42,,列车 火车 车票 公交车 车站 公共汽车 慢车 卧铺,线路 地铁 公交车 退票 车票 火车 公共汽车 搭乘,线路 座位 乘坐 搭乘 高铁 车厢,上车 下车 乘坐 乘客 乘车 公交车 公共汽车 列车 卧铺 售票 地铁 地铁站 大巴 客运 巴士 座位 快车 慢车 打车 搭乘 旅客 晚点 机场 火车 特快 电车 登机 票价 站台 线路 缆车 航班 行李 趟 车厢 车票 车站 退票 通车 铁路 长途 高铁
archived recommendation,妈妈,26,140,老师,姑姑 舅舅 姐姐 妹妹 爸爸 嫂子 哥哥 奶奶,父女 她 老婆 家里 哥哥 姐妹 老乡 姑娘,亲属 老王 她们 战友 宝宝 朋友,一家人 丈夫 两口子 丫头 主人 乖 乡下 乡亲 亲人 亲友 亲属 亲戚 亲朋好友 亲生 人家 仇人 他 伯伯 伯母 伯父 你 保姆 俩 儿女 儿子 全家 别人 叔叔 同事 同伴 同学 哥 哥哥 外公 外婆 大人 大哥 大妈 大姐 大爷 太太 夫人 女人 女儿 女婿 女孩儿 女朋友 女生 奶奶 她 她们 妈 妈妈 妹 妹妹 妻子 姐 姐妹 姐姐 姑姑 姑娘 姥姥 姥爷 姨 娘 娶 媳妇 嫂子 子女 孙女 孙子 孩子 宝宝 家人 家伙 家里 家长 寡妇 小伙子 小偷儿 小姐 小孩儿 小时候 小朋友 岳母 岳父 帅哥 师傅 师父 弟 弟弟 徒弟 恩人 情人 我 战友 新娘 朋友 母亲 母女 母子 爱人 父亲 父女 父子 父母 爷爷 爸 爸爸 爹 班长 男人 男孩儿 男朋友 男生 祖母 祖父 继母 继父 老乡 老人 老人家 老伴儿 老公 老大 老太太 老头儿 老婆 老家 老师 老板 老汉 老王 胖子 舅舅 贪玩儿 邻居 长辈 闺女 阿姨
archived recommendation,为什么,159,27,,怎么 怎样 什么 究竟 呢 哪里 哪儿 谁,请问 什么样 哪里 怎么 有没有 何处 谁 怎样,为何 为什么 有没有 多久 不知 什么样,不知 为什么 为何 什么 什么样 何处 何时 到底 吗 呢 哪 哪些 哪儿 哪里 多久 多少 如何 干什么 怎么 怎么办 怎么样 怎样 是否 有没有 究竟 请问 谁
archived recommendation,公斤,358,19,,公斤 千克 斤 吨 公顷 平方米 立方米 亩,桶 公斤 千克 毫升 吨 美元 平方 美金,立方米 平方 美元 克 人次 元,亩 人次 元 克 公斤 公里 公顷 千克 吨 平方 平方米 斤 桶 毫升 磅 立方米 米 美元 美金
archived recommendation,花,1216,10,,菊花 桃花 牡丹 梅花 玫瑰 花 鲜花 百合,桃花 梅花 花 玫瑰 菊花 芦花 绣 鲜花,绣 花 鲜花 芦花 牡丹 百合,桃花 梅花 牡丹 玫瑰 百合 绣 芦花 花 菊花 鲜花
archived recommendation,行,1325,1,,行,行,行,行
seeded baseline,苹果,1140,4,,新款 系列 问世 苹果,苹果 问世 系列 新款,苹果 系列 问世 新款,新款 系列 苹果 问世
