run,anchor,community,size,representatives,sample,boundary_words
pca100-t0.737-r0.05-run01,苹果,876,1,苹果,苹果,苹果
pca100-t0.737-r0.05-run01,牛奶,73,206,米饭 豆腐 酸奶 橙汁 豆浆 果酱 薯片 香肠 酱 果汁 卤味 牛奶,烧烤 汤圆 纯净水 烤鸭 搅拌 烤肉 矿泉水 勺 巧克力 淀粉 吃 咸,白酒 喝 茶 酒 海藻 碗 开水 脆
pca100-t0.737-r0.05-run01,咖啡,73,206,米饭 豆腐 酸奶 橙汁 豆浆 果酱 薯片 香肠 酱 果汁 卤味 牛奶,烧烤 汤圆 纯净水 烤鸭 搅拌 烤肉 矿泉水 勺 巧克力 淀粉 吃 咸,白酒 喝 茶 酒 海藻 碗 开水 脆
pca100-t0.737-r0.05-run01,衬衫,99,86,衬衣 毛衣 衣服 大衣 衬衫 袜子 裙子 裤子 上衣 围巾 外套 短裤,眼镜 铅笔 背包 背心 枕头 伞 拖鞋 穿 婚纱 纱 内衣 戴,挎 背包 纱 用品 水壶 书包 手表 玩具
pca100-t0.737-r0.05-run01,足球,82,82,田径 乒乓球 比赛 网球 举重 羽毛球 体操 决赛 篮球 排球 跳远 摔跤,俱乐部 获胜 东道主 参赛 帆船 选手 决赛 奖项 网球 取胜 球拍 得分,胜出 取胜 体育 帆船 球队 失利 上场 获胜
pca100-t0.737-r0.05-run01,老师,25,146,姑姑 舅舅 妹妹 姐姐 哥哥 母亲 嫂子 奶奶 爸爸 妈妈 父亲 弟弟,爱人 太太 年迈 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐,子女 老朋友 他 小姐 亲朋好友 亲友 朋友 好友
pca100-t0.737-r0.05-run01,焦虑,121,149,沮丧 羞愧 气愤 惊讶 诧异 惋惜 吃惊 难过 惭愧 茫然 惊诧 伤心,惊慌失措 怜惜 佩服 疲倦 吃惊 半信半疑 由衷 慌乱 犹豫不决 犹豫 得意 沮丧,焦躁 犹豫不决 由衷 寂寞 消沉 压抑 赞叹不已 焦虑
pca100-t0.737-r0.05-run01,政策,228,20,制度 法规 政策 机制 措施 体制 条例 规则 规范 监管 规定 举措,机制 规范 条例 健全 法规 规定 规则 举措 行动 刑法 制度 职能,规定 行动 调控 职能 规范 刑法 健全 规则
pca100-t0.737-r0.05-run01,合同,261,33,协议 协议书 协定 签署 签订 合同 条约 订立 条款 公约 宣言 草案,签订 事宜 宣言 协议书 条约 决议 条款 签 签署 签约 事项 意向,构想 蓝图 生效 签 声明 意向 合约 文件
pca100-t0.737-r0.05-run01,银行,14,76,还款 利息 汇款 贷款 付款 手续费 支票 支付 账单 信用卡 银行卡 存款,取款 拖欠 公积金 银行 征收 卡 钱包 偿还 款项 挂失 缴费 税,逾期 财务 身份证 卡 货币 收益 信用卡 付费
pca100-t0.737-r0.05-run01,软件,433,46,电脑 显示器 录音机 硬盘 屏幕 打印机 音响 摄像机 电视机 耳机 鼠标 笔记本,机器 光盘 录音机 显示器 光碟 按键 数码 键盘 摄像机 摄像 激光 门铃,数码 门铃 机器 芯片 闹钟 手机 多媒体 音量
pca100-t0.737-r0.05-run01,感冒,93,115,炎症 急性 腹泻 病症 慢性 症状 发炎 出血 疼痛 疾病 肝脏 肿瘤,新陈代谢 损伤 传染病 脂肪 骨折 激素 流感 气管 免疫 食欲 肿瘤 糖尿病,阳性 防治 失明 胚胎 服用 呼吸 胎儿 晚期
pca100-t0.737-r0.05-run01,火车,242,109,公交车 公共汽车 车辆 火车 货车 电车 列车 出租车 行驶 慢车 大巴 私家车,机场 开车 高速公路 绕行 加油站 客车 客运 乘车 出租车 步行 旅客 通车,加油站 车型 轿车 马车 车票 车厢 跑车 道路
