token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,1
一代,7
一会儿,8
一体,9
一共,10
一再,4
一切,1
一刹那,8
一动不动,11
一半,1
一卡通,12
一口气,11
一句话,13
一同,14
一向,15
一味,16
一块儿,17
一塌糊涂,18
一声不吭,11
一大早,19
一天到晚,20
一头,21
一如既往,15
一定,22
一家人,23
一帆风顺,24
一带,25
一干二净,26
一年到头,20
一应俱全,27
一度,4
一律,1
一心,28
一心一意,28
一成不变,16
一手,21
一技之长,29
一把手,30
一揽子,31
一方面,32
一旁,25
一无所有,6
一无所知,6
一旦,3
一早,19
一时,8
一晃,8
一样,9
一概,1
一概而论,33
一模一样,9
一次性,34
一毛不拔,6
一流,35
一点儿,8
一生,36
一番,4
一目了然,37
一直,15
一眼,11
一瞬间,8
一筹莫展,38
一系列,1
一线,39
一经,2
一致,9
一般,1
一般来说,40
一行,41
一言一行,5
一言不发,11
一贯,15
一起,14
一路,42
一路上,42
一路平安,24
一路顺风,24
一身,43
一辈子,44
一边,25
一连,4
一连串,1
一道,14
一部分,1
一锅粥,45
一长一短,46
一阵,47
一面,48
一鼓作气,49
一齐,2
丁,50
七,0
七嘴八舌,11
万,0
万一,3
万万,0
万分,51
万古长青,24
万无一失,52
万能,53
丈夫,23
三,0
三明治,45
三番五次,4
三维,54
三角,55
上,25
上下,56
上个月,57
上任,58
上升,59
上午,19
上去,60
上台,58
上司,23
上周,57
上场,61
上头,25
上学,62
上岗,58
上市,63
上帝,64
上当,65
上报,66
上方,25
上旬,57
上映,67
上期,57
上来,60
上楼,60
上次,57
上流,68
上涨,59
上游,69
上演,70
上火,71
上班,19
上班族,68
上瘾,72
上空,73
上级,74
上网,75
上衣,43
上诉,76
上课,62
上调,59
上车,77
上边,25
上述,0
上门,60
上限,78
上面,25
下,79
下一代,7
下个月,57
下乡,80
下令,81
下决心,82
下功夫,82
下午,19
下去,60
下台,58
下场,83
下坠,84
下属,74
下山,60
下岗,58
下意识,2
下手,82
下旬,57
下期,57
下来,60
下棋,17
下楼,60
下次,85
下海,60
下游,69
下班,19
下级,74
下落,84
下课,19
下调,59
下跌,59
下车,77
下载,75
下边,25
下降,59
下雨,86
下雪,86
下面,25
不,51
不一会儿,8
不一定,22
不为人知,87
不久,57
不了了之,6
不予,88
不亚于,89
不亦乐乎,90
不仅,32
不仅仅,32
不以为然,91
不但,32
不便,92
不值,93
不假思索,2
不停,20
不像话,18
不光,32
不免,2
不再,22
不准,94
不利,95
不利于,95
不可思议,96
不可避免,22
不同,9
不同寻常,96
不在乎,97
不堪,38
不够,51
不大,51
不好意思,38
不如,89
不如说,3
不妨,22
不安,38
不定,98
不宜,22
不容,94
不对,18
不少,1
不屑,99
不已,91
不平,99
不幸,100
不得不,2
不得了,18
不得已,2
