community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
0,1,,0.0,0.0,〇,〇,〇,〇
1,14,0.5804582588892292,0.3617284052169993,0.07142857142857142,四 五 六 三 七 八 九 十 二 两 第二 几,一 几 十 第 两 二 第二 九,第二 六 八 几 十 四 二 五 九 两 一 七,四 五 六 三 七 八 九 十 二 两 第二 几 第 一
2,4,0.4092239304709982,0.10096455898892871,0.0,一概 一切 一一 一经,一切 一经 一一 一概,一经 一概 一切 一一,一概 一切 一一 一经
3,40,0.43151317106031656,-0.01909222223588633,0.5,急忙 赶忙 连忙 慌忙 赶紧 立刻 马上 立即 忽然 猛然 随即 赶快,缓缓 纷纷 趁机 忍不住 来不及 下意识 迫不及待 不假思索,慌忙 便 立刻 立即 顺手 趁机 来不及 偷偷 连忙 连夜 火速 来得及,急忙 赶忙 连忙 慌忙 赶紧 立刻 马上 立即 忽然 猛然 随即 赶快 当即 突然 悄悄 匆匆 毫不犹豫 火速 忍不住 匆忙 顿时 顾不得 偷偷 迫不及待 下意识 连滚带爬 趁机 顺手 来不及 便 一下子 顾不上 灵机一动 不一会儿 连夜 不假思索 纷纷 缓缓 来得及 小心翼翼
4,11,0.4631295371401818,0.1405457379218265,0.18181818181818182,小心 注意 提防 留心 留神 当心 警惕 留意 关注 一不小心 戒备,戒备 一不小心 警惕 关注 留神 注意 小心 提防,关注 一不小心 戒备 当心 小心 注意 警惕 留心 提防 留意 留神,小心 注意 提防 留心 留神 当心 警惕 留意 关注 一不小心 戒备
5,5,0.370575300705491,0.01182326880983492,0.4,一鼓作气 一口气 振作 一举 改邪归正,改邪归正 振作 一举 一口气 一鼓作气,一鼓作气 一口气 振作 改邪归正 一举,一鼓作气 一口气 振作 一举 改邪归正
6,8,0.45497620900718977,0.1438957985361277,0.125,言行 一言一行 举动 所作所为 一举一动 行为 行动 一行,一行 行动 行为 举动 所作所为 一举一动 言行 一言一行,一行 举动 行为 行动 言行 一举一动 所作所为 一言一行,言行 一言一行 举动 所作所为 一举一动 行为 行动 一行
7,5,0.511466989843752,0.1793817993855234,0.0,无所事事 一无所有 一事无成 无所作为 一无所知,一无所知 无所作为 一无所有 一事无成 无所事事,无所作为 一无所知 无所事事 一无所有 一事无成,无所事事 一无所有 一事无成 无所作为 一无所知
8,21,0.44922586448846386,0.09201433533468352,0.14285714285714285,许多 一些 诸多 众多 各种 无数 不少 各式各样 好多 种种 一系列 大量,一系列 成千上万 这些 那些 一连串 大量 多种 些,若干 些 不少 许多 无数 一连串 种种 形形色色 那些 多种 这些 大批,许多 一些 诸多 众多 各种 无数 不少 各式各样 好多 种种 一系列 大量 大批 这些 形形色色 那些 一连串 成千上万 些 多种 若干
9,16,0.41343317792239287,0.06864963896504442,0.1875,后代 子孙 后裔 祖先 辈 世代 祖宗 家族 后人 姓氏 一代 血缘,下一代 姓 族 血缘 后人 一代 家族 代,祖先 祖宗 子孙 姓 代 族 后人 后代 世代 姓氏 辈 下一代,后代 子孙 后裔 祖先 辈 世代 祖宗 家族 后人 姓氏 一代 血缘 姓 代 族 下一代
