token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
春节,0,110,0.39486347047075404,12,0.13522430788268064,0.18264648945422776,0.9994281370800977,12,0.0005716408890237649,0.998856496191074,0.0012381901918725158,2,Chūnjié,Spring Festival (Chinese New Year),Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
佳节,0,110,0.3899331955309028,24,0.12828672683497905,0.17374702144161175,0.9999970825475476,24,2.113510117248333e-6,0.9999949690374303,0.000010795592029882579,7-9,jiājié,festive day; holiday,Translation,感激 | 怀念 | 感动 | 敬佩 | 祝福 | 敬重 | 深情 | 真挚 | 想念 | 钦佩 | 羡慕 | 感谢,1.0
中秋节,0,110,0.38738656267055216,12,0.12851542949844968,0.17340497078262243,0.9999890477434826,12,0.000010908489364456248,0.9999781392541182,0.00003486520209244856,5,Zhōngqiū Jié,the Mid-Autumn Festival on 15th of 8th lunar month,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
节日,0,110,0.3838982370059017,24,0.1579779103099715,0.20408481937739167,0.9999765448773059,20,0.000012968401246897079,0.999963576476059,0.00007659369414998413,2,jiérì,holiday; festival,Translation,米饭 | 豆腐 | 牛奶 | 肉 | 果酱 | 罐头 | 红薯 | 面条儿 | 蜂蜜 | 果汁 | 水果 | 南瓜,1.0
过年,0,110,0.38317966377758095,12,0.04418008047885047,0.06683820367214244,0.7050091801659542,12,0.2949793098821594,0.41002987028379473,0.15508591114374173,2,guònián,to celebrate the Chinese New Year,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
圣诞节,0,110,0.3824775261978811,12,0.11443390687218835,0.15633979003880982,0.9999978342964443,18,1.065592513505329e-6,0.9999967687039307,8.554987668808445e-6,6,Shèngdàn Jié,Christmas time; Christmas season; Christmas,Translation,戏剧 | 舞蹈 | 音乐 | 歌曲 | 诗歌 | 歌剧 | 话剧 | 文学 | 戏曲 | 歌舞 | 艺术 | 民歌,1.0
假期,0,110,0.379563284511948,12,0.10454227858166071,0.14420042433892652,0.9999724230672841,12,0.00002669903444026734,0.9999457240328438,0.00008233010217075491,2,jiàqī,vacation,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
元宵节,0,110,0.3786493645359837,12,0.11834617157721805,0.1599928111770541,0.999990597130755,12,7.926552697417291e-6,0.9999826705780576,0.00003161730720511543,7-9,Yuánxiāo Jié,"Lantern Festival, the final event of the Spring Festival 春节, on 15th of first month of the lunar calendar",Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
清明节,0,110,0.375211286251043,12,0.10462002584892821,0.14343127545552045,0.9994378824722276,12,0.0005540552566056267,0.998883827215622,0.001230124576602608,6,Qīngmíng Jié,"Qingming or Pure Brightness Festival or Tomb Sweeping Day, celebration for the dead (in early April)",Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
假日,0,110,0.3716378219162094,12,0.11764718159311971,0.1577020181678037,0.9985245590222946,35,0.0014725137453888036,0.9970520452769058,0.002841838170151168,6,jiàrì,holiday; non-working day,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,1.0
除夕,0,110,0.3708032590262384,12,0.06833596271493769,0.09796811296956098,0.9978711263270185,12,0.002128837483206518,0.995742288843812,0.0038916614647472136,5,chúxī,lunar New Year's Eve,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
过节,0,110,0.37062660731558844,12,0.06534626042084657,0.09406133845323338,0.9999816615784286,12,0.000018258259798902508,0.9999634033186297,0.00005596690811437644,7-9,guòjié,to celebrate a festival; after the celebrations (i.e. once the festival is over),Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
新年,0,110,0.36897351939455625,24,0.12017921625007108,0.15998176897903119,0.9998596896661727,37,0.0001317869398887654,0.9997279027262839,0.0003635408702111378,1,xīnnián,New Year,Translation,接见 | 会见 | 拜会 | 应邀 | 出席 | 致辞 | 出任 | 就任 | 颁奖 | 邀请 | 担任 | 开幕,1.0
元旦,0,110,0.3674334514754855,12,0.10895553976052341,0.14693498883156866,0.9979584252591281,12,0.002029658376587699,0.9959287668825404,0.0037742472081187936,5,Yuándàn,New Year's Day,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
端午节,0,110,0.36291695607409397,12,0.12190412669031461,0.16061421247916588,0.9999320097095137,12,0.000055784505171533884,0.9998762252043422,0.0001961703912277803,6,Duānwǔ Jié,Dragon Boat Festival (5th day of the 5th lunar month),Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
郊游,0,110,0.3603784793516131,12,0.056547032197762415,0.0812260651053268,0.9984791453215877,12,0.001517618700095821,0.9969615266214918,0.002917755111483449,7-9,jiāoyóu,to go for an outing; to go on an excursion,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
长假,0,110,0.356642508561844,12,0.09932121165625557,0.1337337549096645,0.9999574009587403,26,0.00003355917381237837,0.9999238417849279,0.0001297099168919537,6,chángjià,long vacation,Translation,此前 | 月初 | 月底 | 预计 | 年初 | 今年 | 近期 | 上周 | 上个月 | 当日 | 目前 | 之前,1.0
年夜饭,0,110,0.35485904939507135,12,0.08762630884469697,0.11958272932460477,0.9981886090831404,20,0.0017389183466337292,0.9964496907365067,0.0034698138993523127,7-9,niányèfàn,New Year's Eve family dinner,Translation,米饭 | 豆腐 | 牛奶 | 肉 | 果酱 | 罐头 | 红薯 | 面条儿 | 蜂蜜 | 果汁 | 水果 | 南瓜,1.0
出游,0,110,0.35264618762570343,12,0.10624249404565872,0.14098064592483978,0.9999741788048059,35,0.000012008855556828018,0.999962169949249,0.00008354383654892382,7-9,chūyóu,to go on a tour; to have an outing,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,1.0
晚餐,0,110,0.3489360957523364,12,0.033857628775677495,0.049432857843182645,0.9999683396125272,12,0.000017405166894488105,0.9999509344456327,0.00009779712136733289,2,wǎncān,evening meal; dinner,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
野餐,0,110,0.34771075818437414,12,0.057018378541763226,0.08038596640627406,0.9963031958805545,35,0.0036145011749195576,0.9926886947056349,0.0063566623446121955,7-9,yěcān,picnic; to have a picnic,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,0.5
国庆,0,110,0.3467648404043486,12,0.13047688509561886,0.16648574687533102,0.9987875620368662,26,0.001122583952556803,0.9976649780843094,0.0025147087681341405,3,guóqìng,National Day,Translation,此前 | 月初 | 月底 | 预计 | 年初 | 今年 | 近期 | 上周 | 上个月 | 当日 | 目前 | 之前,1.0
节假日,0,110,0.345864375926144,12,0.06685303453685987,0.09272411394886572,0.9992431611480014,12,0.0006665000181869978,0.9985766611298144,0.0016772379742933613,6,jiéjiàrì,public holiday,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
聚会,0,110,0.3350230377336607,12,0.05662921375171931,0.07847662012014443,0.9972943275955046,37,0.0026284733694317114,0.9946658542260729,0.004889564369832016,4,jùhuì,party; gathering; to meet; to get together,Translation,接见 | 会见 | 拜会 | 应邀 | 出席 | 致辞 | 出任 | 就任 | 颁奖 | 邀请 | 担任 | 开幕,1.0
时节,0,110,0.33459247177843987,12,0.07133353582497176,0.09682307571288906,0.9999957225233624,12,3.024030492186619e-6,0.9999926984928702,0.00001542304932396061,6,shíjié,season; time,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
