community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members,soft_mass,mean_max_membership,mean_normalized_membership_entropy,highest_membership_words,strongest_members_outside_hard_cluster
0,54,0.4328674876503881,0.0840274259509096,0.0,悲伤 | 伤感 | 伤心 | 痛苦 | 悔恨 | 怨恨 | 忧愁 | 悲哀 | 委屈 | 悲痛 | 绝望 | 心酸,伤痕 | 痛 | 牵挂 | 怜惜 | 喜悦 | 呜咽 | 耻辱 | 心里,折磨 | 压抑 | 悲伤 | 心酸 | 心情 | 怨恨 | 内心 | 泪 | 愤怒 | 痛 | 耻辱 | 孤单,悲伤 | 伤感 | 伤心 | 痛苦 | 悔恨 | 怨恨 | 忧愁 | 悲哀 | 委屈 | 悲痛 | 绝望 | 心酸 | 哭泣 | 愤怒 | 凄凉 | 自责 | 恐惧 | 寂寞 | 恨 | 孤独 | 思念 | 忧郁 | 失落 | 烦闷 | 怜惜 | 泪水 | 眼泪 | 呜咽 | 流泪 | 孤单 | 焦虑 | 仇恨 | 泪 | 怨 | 怨气 | 倾诉 | 压抑 | 喜悦 | 痛 | 内心 | 牵挂 | 心里 | 耻辱 | 心情 | 失恋 | 发泄 | 受苦 | 折磨 | 愁 | 心中 | 回忆 | 往事 | 伤痕 | 宣泄,54.00000049255603,0.9999999998860442,4.333987285920782e-10,仇恨:1.000000 | 伤感:1.000000 | 伤痕:1.000000 | 倾诉:1.000000 | 内心:1.000000 | 凄凉:1.000000 | 压抑:1.000000 | 发泄:1.000000 | 受苦:1.000000 | 呜咽:1.000000 | 哭泣:1.000000 | 喜悦:1.000000,
1,44,0.36701606373112255,0.06626235825028788,0.1590909090909091,艰辛 | 磨难 | 风风雨雨 | 艰苦 | 艰险 | 苦难 | 艰难 | 辛苦 | 辛酸 | 经历 | 酸甜苦辣 | 历经,荆棘 | 忍受 | 惨痛 | 悲欢离合 | 辛酸 | 汗水 | 苦难 | 回首,波折 | 经受 | 苦 | 考验 | 挫折 | 路程 | 酸甜苦辣 | 历程 | 苦心 | 风餐露宿 | 漫长 | 奔波,艰辛 | 磨难 | 风风雨雨 | 艰苦 | 艰险 | 苦难 | 艰难 | 辛苦 | 辛酸 | 经历 | 酸甜苦辣 | 历经 | 风雨 | 历程 | 曲折 | 漫长 | 岁月 | 波折 | 苦 | 辛勤 | 路途 | 沧桑 | 惨痛 | 挫折 | 风餐露宿 | 路程 | 奔波 | 经受 | 操劳 | 苦心 | 旅程 | 荆棘 | 悲欢离合 | 艰巨 | 付出 | 汗水 | 忍受 | 洗礼 | 心血 | 考验 | 经过 | 回首 | 度过 | 足迹,44.00000000000006,1.0,3.181207011174193e-16,付出:1.000000 | 历程:1.000000 | 历经:1.000000 | 回首:1.000000 | 奔波:1.000000 | 岁月:1.000000 | 度过:1.000000 | 心血:1.000000 | 忍受:1.000000 | 悲欢离合:1.000000 | 惨痛:1.000000 | 挫折:1.000000,
2,86,0.32937293548942065,0.038088636885643616,0.27906976744186046,山岭 | 大海 | 海面 | 沙漠 | 礁石 | 峡谷 | 雪山 | 山峰 | 海岸 | 天空 | 山谷 | 海浪,热气球 | 小溪 | 黑夜 | 草地 | 雪 | 雾 | 黎明 | 瀑布,瀑布 | 山冈 | 无边 | 流水 | 草原 | 海边 | 太空 | 水域 | 热带 | 山谷 | 海滨 | 海水,山岭 | 大海 | 海面 | 沙漠 | 礁石 | 峡谷 | 雪山 | 山峰 | 海岸 | 天空 | 山谷 | 海浪 | 高山 | 湖泊 | 沼泽 | 沙滩 | 海滩 | 岩石 | 山顶 | 海边 | 草原 | 丘陵 | 海水 | 陆地 | 海洋 | 波涛 | 河流 | 小溪 | 高原 | 岛屿 | 水面 | 悬崖 | 戈壁 | 平原 | 海底 | 森林 | 海滨 | 丛林 | 冰山 | 瀑布 | 蓝天 | 冰雪 | 海域 | 月亮 | 山冈 | 大地 | 火山 | 水域 | 彩霞 | 草地 | 太阳 | 波浪 | 黑夜 | 月球 | 地球 | 山川 | 上空 | 天上 | 星星 | 海湾 | 北极 | 南极 | 雪 | 海拔 | 乌云 | 深处 | 远方 | 彩虹 | 高空 | 地面 | 陨石 | 热气球 | 空中 | 雾 | 阳光 | 热带 | 太空 | 无边 | 海峡 | 闪电 | 天堂 | 黎明 | 汪洋 | 旭日 | 金字塔 | 流水,86.00000001003953,0.9999999999976363,1.100235687155004e-11,上空:1.000000 | 丘陵:1.000000 | 丛林:1.000000 | 乌云:1.000000 | 冰山:1.000000 | 冰雪:1.000000 | 北极:1.000000 | 南极:1.000000 | 地球:1.000000 | 地面:1.000000 | 大地:1.000000 | 大海:1.000000,
3,21,0.42442179731439333,0.17293008433507212,0.047619047619047616,始终 | 一直 | 依然 | 依旧 | 仍然 | 仍旧 | 一向 | 向来 | 一贯 | 仍 | 从来 | 历来,坚守 | 丝毫 | 一如既往 | 多年来 | 常年 | 从来 | 永远 | 长期,始终 | 从来 | 永远 | 一贯 | 仍 | 仍旧 | 一直 | 向来 | 一向 | 丝毫 | 长期以来 | 依然,始终 | 一直 | 依然 | 依旧 | 仍然 | 仍旧 | 一向 | 向来 | 一贯 | 仍 | 从来 | 历来 | 自始至终 | 永远 | 长期以来 | 多年来 | 一如既往 | 常年 | 丝毫 | 长期 | 坚守,21.00000000000003,1.0,8.810600950547731e-19,一向:1.000000 | 一如既往:1.000000 | 一直:1.000000 | 一贯:1.000000 | 丝毫:1.000000 | 仍:1.000000 | 仍旧:1.000000 | 仍然:1.000000 | 从来:1.000000 | 依旧:1.000000 | 依然:1.000000 | 历来:1.000000,
4,51,0.29804932062628275,0.014023179237983166,0.5098039215686274,逐渐 | 逐步 | 能够 | 慢慢 | 渐渐 | 能否 | 无法 | 才能 | 难以 | 能 | 会 | 得以,继续 | 迟迟 | 有朝一日 | 完全 | 如愿以偿 | 再度 | 是否 | 迅速,一经 | 未 | 彻底 | 得以 | 迟早 | 可以 | 重新 | 有朝一日 | 能否 | 潜移默化 | 随时 | 难以,逐渐 | 逐步 | 能够 | 慢慢 | 渐渐 | 能否 | 无法 | 才能 | 难以 | 能 | 会 | 得以 | 必将 | 迟早 | 有望 | 已经 | 将要 | 将 | 尚未 | 轻易 | 已 | 早已 | 何时 | 迅速 | 真正 | 可以 | 重新 | 自然而然 | 再度 | 如何 | 彻底 | 有朝一日 | 正在 | 轻而易举 | 完全 | 随时 | 是否 | 不断 | 迟迟 | 将来 | 未 | 怎样 | 被 | 继续 | 随时随地 | 永不 | 如愿以偿 | 全部 | 正 | 潜移默化 | 一经,51.00045053702078,0.9999999889106295,3.22049008298182e-8,一经:1.000000 | 不断:1.000000 | 何时:1.000000 | 全部:1.000000 | 如何:1.000000 | 如愿以偿:1.000000 | 完全:1.000000 | 将:1.000000 | 将来:1.000000 | 将要:1.000000 | 尚未:1.000000 | 已:1.000000,
5,109,0.2549531473911114,-0.004179673956070074,0.4954128440366973,贸易 | 信贷 | 金融 | 外贸 | 投资 | 房地产 | 外汇 | 销售 | 资产 | 消费 | 进出口 | 银行,苹果 | 汽车 | 买卖 | 私营 | 高价 | 医疗 | 茅台 | 航空,供求 | 劳务 | 货币 | 关税 | 房地产 | 国家 | 海外 | 经营 | 内地 | 对外 | 汽车 | 短期,贸易 | 信贷 | 金融 | 外贸 | 投资 | 房地产 | 外汇 | 销售 | 资产 | 消费 | 进出口 | 银行 | 经营 | 汇率 | 租赁 | 零售 | 商品 | 交易 | 原材料 | 煤炭 | 利润 | 电力 | 外资 | 货币 | 医药 | 资金 | 经济 | 出口 | 外币 | 物流 | 大宗 | 进口 | 供应 | 盈利 | 能源 | 并购 | 石油 | 采购 | 供求 | 资本 | 批发 | 服务业 | 境外 | 监管 | 财务 | 汽车 | 内需 | 供给 | 工业 | 保险 | 物价 | 海外 | 业绩 | 信用 | 医疗 | 股市 | 股票 | 流通 | 人民币 | 收购 | 原料 | 短期 | 合资 | 低价 | 理财 | 订单 | 利率 | 百货 | 劳务 | 定价 | 二手车 | 宏观 | 出售 | 关税 | 环保 | 实体 | 风险 | 电信 | 高价 | 买卖 | 上游 | 基金 | 招标 | 房价 | 财富 | 对外 | 航空 | 下游 | 国有 | 私营 | 国际 | 机构 | 营业 | 股份 | 外部 | 平价 | 开发商 | 传媒 | 内地 | 拍卖 | 发行 | 债 | 回收 | 牌照 | 国家 | 环球 | 茅台 | 中国 | 苹果,108.99791966814642,0.9999732951120873,0.00003962689106829152,上游:1.000000 | 下游:1.000000 | 业绩:1.000000 | 买卖:1.000000 | 交易:1.000000 | 低价:1.000000 | 供应:1.000000 | 供求:1.000000 | 供给:1.000000 | 内需:1.000000 | 出口:1.000000 | 出售:1.000000,
6,95,0.24225470046781894,-0.02553381344894074,0.8,留 | 补 | 取 | 退 | 改 | 寄 | 换 | 减 | 停 | 存 | 移 | 撤,罚 | 递 | 拨 | 流 | 献 | 办 | 淘 | 治,赔 | 溢 | 造 | 拨 | 产 | 发 | 置 | 限 | 充 | 解 | 续 | 采,留 | 补 | 取 | 退 | 改 | 寄 | 换 | 减 | 停 | 存 | 移 | 撤 | 降 | 拆 | 调 | 定 | 交 | 保 | 填 | 裁 | 收 | 充 | 审 | 造 | 赔 | 删 | 递 | 修 | 押 | 加 | 增 | 提 | 进 | 赎 | 运 | 拨 | 发 | 配 | 开 | 销 | 认 | 剩 | 征 | 扩 | 输 | 续 | 罚 | 添 | 耗 | 转 | 租 | 欠 | 采 | 试 | 解 | 投 | 录 | 赐 | 治 | 查 | 缓 | 限 | 迁 | 领 | 赌 | 积 | 废 | 入 | 动 | 消 | 献 | 缩 | 损 | 招 | 混 | 评 | 整 | 办 | 回 | 免 | 流 | 货 | 置 | 溢 | 准 | 照 | 待 | 产 | 制 | 淘 | 满 | 止 | 妥 | 派 | 出,94.99999996310228,0.9999999995998206,1.3827992401848022e-9,交:1.000000 | 保:1.000000 | 修:1.000000 | 停:1.000000 | 充:1.000000 | 免:1.000000 | 入:1.000000 | 准:1.000000 | 删:1.000000 | 制:1.000000 | 加:1.000000 | 动:1.000000,
7,45,0.43243921249366374,0.17118370755230755,0.0,春节 | 清明节 | 中秋节 | 圣诞节 | 元旦 | 元宵节 | 除夕 | 端午节 | 假期 | 节日 | 暑假 | 佳节,来临 | 来年 | 家家户户 | 节 | 初一 | 放假 | 高峰期 | 假日,季节 | 冬季 | 来年 | 夏天 | 节气 | 国庆 | 过节 | 秋天 | 时节 | 节假日 | 圣诞节 | 放假,春节 | 清明节 | 中秋节 | 圣诞节 | 元旦 | 元宵节 | 除夕 | 端午节 | 假期 | 节日 | 暑假 | 佳节 | 长假 | 过年 | 时节 | 新年 | 寒假 | 国庆 | 季节 | 节假日 | 腊月 | 冬天 | 春季 | 过节 | 秋天 | 放假 | 假日 | 夏天 | 农历 | 冬季 | 夏季 | 清明 | 春天 | 旺季 | 暑期 | 节气 | 秋季 | 淡季 | 每逢 | 初一 | 来临 | 高峰期 | 家家户户 | 来年 | 节,45.000005062603265,1.0,5.369702202480532e-22,中秋节:1.000000 | 佳节:1.000000 | 假日:1.000000 | 假期:1.000000 | 元宵节:1.000000 | 元旦:1.000000 | 农历:1.000000 | 冬天:1.000000 | 冬季:1.000000 | 初一:1.000000 | 国庆:1.000000 | 圣诞节:1.000000,
8,87,0.28920490921662323,-0.00047359726470070723,0.4942528735632184,艰苦奋斗 | 团结 | 奋斗 | 拼搏 | 自强不息 | 弘扬 | 发扬 | 伟大 | 英勇 | 光辉 | 勇往直前 | 信念,信念 | 刻苦 | 硕果 | 美德 | 大家庭 | 诚信 | 伸张 | 牢记,事业 | 模范 | 昌盛 | 民族 | 朝气蓬勃 | 全体 | 奋斗 | 刻苦 | 长征 | 伟大 | 革命 | 成才,艰苦奋斗 | 团结 | 奋斗 | 拼搏 | 自强不息 | 弘扬 | 发扬 | 伟大 | 英勇 | 光辉 | 勇往直前 | 信念 | 奋勇 | 奉献 | 光荣 | 富强 | 崇高 | 中华民族 | 发愤图强 | 楷模 | 榜样 | 祖国 | 歌颂 | 社会主义 | 鼓舞 | 胜利 | 旗帜 | 忠于 | 正义 | 朝气蓬勃 | 勇于 | 捍卫 | 爱国 | 发扬光大 | 同舟共济 | 争光 | 尊严 | 自力更生 | 众志成城 | 刻苦 | 革命 | 友谊 | 复兴 | 万古长青 | 和平 | 民族 | 脊梁 | 美德 | 繁荣 | 模范 | 表率 | 鞭策 | 保卫 | 凯歌 | 与时俱进 | 独立自主 | 事业 | 进步 | 神圣 | 成才 | 牢记 | 成就 | 昌盛 | 造福 | 改革开放 | 以身作则 | 正能量 | 振兴 | 党 | 扎根 | 愚公移山 | 投身 | 立功 | 自立 | 硕果 | 解放 | 光明 | 大家庭 | 诚信 | 座右铭 | 伸张 | 长征 | 先锋 | 第一线 | 栋梁 | 全体 | 启迪,86.99995297406755,0.9999994594627192,1.131244921836995e-6,万古长青:1.000000 | 与时俱进:1.000000 | 争光:1.000000 | 事业:1.000000 | 以身作则:1.000000 | 众志成城:1.000000 | 伸张:1.000000 | 保卫:1.000000 | 先锋:1.000000 | 光明:1.000000 | 光荣:1.000000 | 光辉:1.000000,
9,46,0.3238341112943164,0.03200521598922081,0.2826086956521739,公路 | 铁路 | 货运 | 客运 | 码头 | 运输 | 高速公路 | 隧道 | 港口 | 通车 | 集装箱 | 车站,道路 | 目的地 | 跑道 | 两岸 | 天桥 | 便道 | 通行 | 大道,沿途 | 运河 | 码头 | 海运 | 货物 | 通道 | 港 | 入境 | 船 | 线路 | 航运 | 目的地,公路 | 铁路 | 货运 | 客运 | 码头 | 运输 | 高速公路 | 隧道 | 港口 | 通车 | 集装箱 | 车站 | 航运 | 线路 | 货物 | 道路 | 机场 | 船只 | 过境 | 枢纽 | 轮船 | 船舶 | 海运 | 交通 | 沿线 | 桥梁 | 通行 | 运河 | 通道 | 船 | 通往 | 直达 | 站台 | 沿途 | 大道 | 港 | 便道 | 跑道 | 轨道 | 客流 | 入境 | 路线 | 天桥 | 目的地 | 沿 | 两岸,46.00000000967138,0.9999999999999976,1.731937729856005e-14,两岸:1.000000 | 交通:1.000000 | 便道:1.000000 | 入境:1.000000 | 公路:1.000000 | 大道:1.000000 | 天桥:1.000000 | 客流:1.000000 | 客运:1.000000 | 机场:1.000000 | 枢纽:1.000000 | 桥梁:1.000000,
